layer,x,y,reflectance,melted
0,14,2,0.1499,0
0,14,3,0.2641,0
0,14,4,0.8003,1
0,14,5,0.7773,1
0,14,6,0.8619,1
0,14,7,0.813,1
0,14,8,0.7794,1
0,14,9,0.7962,1
0,14,10,0.8854,1
0,14,11,0.7972,1
0,14,12,0.2139,0
0,14,13,0.1721,0
0,14,14,0.2138,0
0,14,15,0.1932,0
0,14,16,0.2338,0
0,14,17,0.1874,0
0,14,18,0.2789,0
0,14,19,0.8307,1
0,14,20,0.8332,1
0,14,21,0.7555,1
0,14,22,0.8576,1
0,14,23,0.7964,1
0,14,24,0.7866,1
0,14,25,0.8667,1
0,14,26,0.7916,1
0,14,27,0.1526,0
0,14,28,0.2402,0
0,14,29,0.1777,0
0,14,30,0.1606,0
0,14,31,0.2423,0
0,15,0,0.2254,0
0,15,1,0.08,0
0,15,2,0.1737,0
0,15,3,0.2258,0
0,15,4,0.2281,0
0,15,5,0.1677,0
0,15,6,0.7987,1
0,15,7,0.7895,1
0,15,8,0.7756,1
0,15,9,0.8217,1
0,15,10,0.9013,1
0,15,11,0.8735,1
0,15,12,0.8223,1
0,15,13,0.8524,1
0,15,14,0.2536,0
0,15,15,0.1603,0
0,15,16,0.1815,0
0,15,17,0.2681,0
0,15,18,0.1955,0
0,15,19,0.2389,0
0,15,20,0.1719,0
0,15,21,0.8459,1
0,15,22,0.8397,1
0,15,23,0.8953,1
0,15,24,0.8092,1
0,15,25,0.8112,1
0,15,26,0.8578,1
0,15,27,0.8678,1
0,15,28,0.8204,1
0,15,29,0.2205,0
0,15,30,0.2323,0
0,15,31,0.1432,0
0,16,0,0.121,0
0,16,1,0.2638,0
0,16,2,0.2505,0
0,16,3,0.1941,0
0,16,4,0.2072,0
0,16,5,0.1493,0
0,16,6,0.1296,0
0,16,7,0.7902,1
0,16,8,0.7908,1
0,16,9,0.8159,1
0,16,10,0.7741,1
0,16,11,0.7888,1
0,16,12,0.8959,1
0,16,13,0.8455,1
0,16,14,0.8414,1
0,16,15,0.2392,0
0,16,16,0.1452,0
0,16,17,0.1652,0
0,16,18,0.208,0
0,16,19,0.2535,0
0,16,20,0.1656,0
0,16,21,0.2156,0
0,16,22,0.1959,0
0,16,23,0.8922,1
0,16,24,0.8207,1
0,16,25,0.8039,1
0,16,26,0.8308,1
0,16,27,0.8332,1
0,16,28,0.8044,1
0,16,29,0.8493,1
0,16,30,0.2464,0
0,16,31,0.2586,0
0,17,0,0.8921,1
0,17,1,0.8706,1
0,17,2,0.1703,0
0,17,3,0.1649,0
0,17,4,0.1559,0
0,17,5,0.1504,0
0,17,6,0.1554,0
0,17,7,0.2356,0
0,17,8,0.2566,0
0,17,9,0.8122,1
0,17,10,0.769,1
0,17,11,0.811,1
0,17,12,0.8124,1
0,17,13,0.7949,1
0,17,14,0.8679,1
0,17,15,0.8565,1
0,17,16,0.7729,1
0,17,17,0.1725,0
0,17,18,0.1673,0
0,17,19,0.1465,0
0,17,20,0.1848,0
0,17,21,0.1637,0
0,17,22,0.2014,0
0,17,23,0.1365,0
0,17,24,0.804,1
0,17,25,0.8334,1
0,17,26,0.8277,1
0,17,27,0.854,1
0,17,28,0.7531,1
0,17,29,0.8039,1
0,17,30,0.796,1
0,17,31,0.9379,1
0,18,0,0.9272,1
0,18,1,0.7949,1
0,18,2,0.7773,1
0,18,3,0.1564,0
0,18,4,0.1746,0
0,18,5,0.1436,0
0,18,6,0.1987,0
0,18,7,0.1921,0
0,18,8,0.1671,0
0,18,9,0.1887,0
0,18,10,0.1187,0
0,18,11,0.9061,1
0,18,12,0.8312,1
0,18,13,0.8647,1
0,18,14,0.779,1
0,18,15,0.8635,1
0,18,16,0.8391,1
0,18,17,0.8042,1
0,18,18,0.2268,0
0,18,19,0.1609,0
0,18,20,0.2099,0
0,18,21,0.2309,0
0,18,22,0.2907,0
0,18,23,0.223,0
0,18,24,0.2545,0
0,18,25,0.1909,0
0,18,26,0.7717,1
0,18,27,0.8337,1
0,18,28,0.8631,1
0,18,29,0.8636,1
0,18,30,0.8749,1
0,18,31,0.7813,1
0,19,0,0.7721,1
0,19,1,0.8136,1
0,19,2,0.7302,1
0,19,3,0.8408,1
0,19,4,0.8724,1
0,19,5,0.1856,0
0,19,6,0.2232,0
0,19,7,0.1409,0
0,19,8,0.1582,0
0,19,9,0.1566,0
0,19,10,0.204,0
0,19,11,0.2325,0
0,19,12,0.7993,1
0,19,13,0.7306,1
0,19,14,0.7912,1
0,19,15,0.8005,1
0,19,16,0.8825,1
0,19,17,0.8776,1
0,19,18,0.8875,1
0,19,19,0.8334,1
0,19,20,0.1831,0
0,19,21,0.1822,0
0,19,22,0.0871,0
0,19,23,0.2165,0
0,19,24,0.1891,0
0,19,25,0.1581,0
0,19,26,0.2087,0
0,19,27,0.8637,1
0,19,28,0.7624,1
0,19,29,0.8394,1
0,19,30,0.8761,1
0,19,31,0.8319,1
0,20,0,0.7761,1
0,20,1,0.8118,1
0,20,2,0.8743,1
0,20,3,0.7917,1
0,20,4,0.8153,1
0,20,5,0.8357,1
0,20,6,0.1813,0
0,20,7,0.1753,0
0,20,8,0.0814,0
0,20,9,0.1045,0
0,20,10,0.2607,0
0,20,11,0.258,0
0,20,12,0.1713,0
0,20,13,0.1895,0
0,20,14,0.7931,1
0,20,15,0.8541,1
0,20,16,0.8713,1
0,20,17,0.8761,1
0,20,18,0.8628,1
0,20,19,0.7567,1
0,20,20,0.8001,1
0,20,21,0.801,1
0,20,22,0.2638,0
0,20,23,0.1456,0
0,20,24,0.2059,0
0,20,25,0.1941,0
0,20,26,0.1996,0
0,20,27,0.284,0
0,20,28,0.2926,0
0,20,29,0.8083,1
0,20,30,0.8548,1
0,20,31,0.8662,1
0,21,0,0.8401,1
0,21,1,0.8503,1
0,21,2,0.8248,1
0,21,3,0.8621,1
0,21,4,0.7882,1
0,21,5,0.8241,1
0,21,6,0.2345,1
0,21,7,0.8111,1
0,21,8,0.1942,0
0,21,9,0.2281,0
0,21,10,0.1291,0
0,21,11,0.1843,0
0,21,12,0.1141,0
0,21,13,0.1632,0
0,21,14,0.1271,0
0,21,15,0.7914,1
0,21,16,0.8437,1
0,21,17,0.8571,1
0,21,18,0.7934,1
0,21,19,0.8231,1
0,21,20,0.7743,1
0,21,21,0.8798,1
0,21,22,0.7768,1
0,21,23,0.1618,0
0,21,24,0.204,0
0,21,25,0.1449,0
0,21,26,0.1714,0
0,21,27,0.1689,0
0,21,28,0.2143,0
0,21,29,0.1563,0
0,21,30,0.2104,0
0,21,31,0.7457,1
0,22,0,0.1833,0
0,22,1,0.2458,0
0,22,2,0.8237,1
0,22,3,0.8123,1
0,22,4,0.8501,1
0,22,5,0.8058,1
0,22,6,0.8165,1
0,22,7,0.7939,1
0,22,8,0.793,1
0,22,9,0.8382,1
0,22,10,0.2106,0
0,22,11,0.1789,0
0,22,12,0.249,0
0,22,13,0.1875,0
0,22,14,0.1539,0
0,22,15,0.135,0
0,22,16,0.2137,0
0,22,17,0.769,1
0,22,18,0.8327,1
0,22,19,0.8188,1
0,22,20,0.7341,1
0,22,21,0.8328,1
0,22,22,0.8027,1
0,22,23,0.8172,1
0,22,24,0.8172,1
0,22,25,0.1659,0
0,22,26,0.1697,0
0,22,27,0.1656,0
0,22,28,0.1311,0
0,22,29,0.192,0
0,22,30,0.2036,0
0,22,31,0.1268,0
0,23,0,0.1944,0
0,23,1,0.2398,0
0,23,2,0.1993,0
0,23,3,0.7992,1
0,23,4,0.7903,1
0,23,5,0.9233,1
0,23,6,0.8131,1
0,23,7,0.8052,1
0,23,8,0.8625,1
0,23,9,0.7978,1
0,23,10,0.8563,1
0,23,11,0.1713,0
0,23,12,0.1677,0
0,23,13,0.1589,0
0,23,14,0.1751,0
0,23,15,0.2198,0
0,23,16,0.2296,0
0,23,17,0.1747,0
0,23,18,0.2454,0
0,23,19,0.8062,1
0,23,20,0.8458,1
0,23,21,0.878,1
0,23,22,0.8194,1
0,23,23,0.7743,1
0,23,24,0.8273,1
0,23,25,0.9246,1
0,23,26,0.8061,1
0,23,27,0.2503,0
0,23,28,0.1227,0
0,23,29,0.1903,0
0,23,30,0.2272,0
0,23,31,0.1941,0
0,24,0,0.1169,0
0,24,1,0.1743,0
0,24,2,0.1133,0
0,24,3,0.1342,0
0,24,4,0.2865,0
0,24,5,0.8295,1
0,24,6,0.7839,1
0,24,7,0.7617,1
0,24,8,0.8449,1
0,24,9,0.8085,1
0,24,10,0.8358,1
0,24,11,0.8058,1
0,24,12,0.8169,1
0,24,13,0.2003,0
0,24,14,0.1431,0
0,24,15,0.1031,0
0,24,16,0.1358,0
0,24,17,0.1581,0
0,24,18,0.1803,0
0,24,19,0.1868,0
0,24,20,0.786,1
0,24,21,0.8381,1
0,24,22,0.8249,1
0,24,23,0.8688,1
0,24,24,0.8248,1
0,24,25,0.7441,1
0,24,26,0.7392,1
0,24,27,0.8196,1
0,24,28,0.2185,0
0,24,29,0.1978,0
0,24,30,0.1818,0
0,24,31,0.1561,0
0,25,0,0.1367,0
0,25,1,0.2192,0
0,25,2,0.2428,0
0,25,3,0.1417,0
0,25,4,0.186,0
0,25,5,0.1991,0
0,25,6,0.1701,0
0,25,7,0.8582,1
0,25,8,0.8357,1
0,25,9,0.8059,1
0,25,10,0.8295,1
0,25,11,0.7777,1
0,25,12,0.7547,1
0,25,13,0.8728,1
0,25,14,0.7893,1
0,25,15,0.1889,0
0,25,16,0.2665,0
0,25,17,0.2615,0
0,25,18,0.1975,0
0,25,19,0.1834,0
0,25,20,0.1242,0
0,25,21,0.1745,0
0,25,22,0.8657,1
0,25,23,0.8345,1
0,25,24,0.7724,1
0,25,25,0.8487,1
0,25,26,0.8015,1
0,25,27,0.7915,1
0,25,28,0.8017,1
0,25,29,0.7542,1
0,25,30,0.1263,0
0,25,31,0.1555,0
0,26,0,0.8716,1
0,26,1,0.1952,0
0,26,2,0.1718,0
0,26,3,0.1548,0
0,26,4,0.2375,0
0,26,5,0.142,0
0,26,6,0.1633,0
0,26,7,0.2539,0
0,26,8,0.8547,1
0,26,9,0.8567,1
0,26,10,0.7751,1
0,26,11,0.8332,1
0,26,12,0.8859,1
0,26,13,0.846,1
0,26,14,0.8689,1
0,26,15,0.7962,1
0,26,16,0.1992,0
0,26,17,0.1551,0
0,26,18,0.1541,0
0,26,19,0.1362,0
0,26,20,0.2434,0
0,26,21,0.0982,0
0,26,22,0.2013,0
0,26,23,0.1242,0
0,26,24,0.7973,1
0,26,25,0.7971,1
0,26,26,0.8389,1
0,26,27,0.7672,1
0,26,28,0.7952,1
0,26,29,0.764,1
0,26,30,0.8618,1
0,26,31,0.2152,0
0,27,0,0.8124,1
0,27,1,0.7501,1
0,27,2,0.8559,1
0,27,3,0.2535,0
0,27,4,0.214,0
0,27,5,0.2064,0
0,27,6,0.1617,0
0,27,7,0.2172,0
0,27,8,0.163,0
0,27,9,0.1901,0
0,27,10,0.8436,1
0,27,11,0.7512,1
0,27,12,0.8577,1
0,27,13,0.7894,1
0,27,14,0.859,1
0,27,15,0.7776,1
0,27,16,0.8134,1
0,27,17,0.815,1
0,27,18,0.2305,0
0,27,19,0.1584,0
0,27,20,0.2089,0
0,27,21,0.279,0
0,27,22,0.2056,0
0,27,23,0.1522,0
0,27,24,0.1334,0
0,27,25,0.8085,1
0,27,26,0.8415,1
0,27,27,0.8574,1
0,27,28,0.8072,1
0,27,29,0.7882,1
0,27,30,0.8363,1
0,27,31,0.7815,1
0,28,0,0.8334,1
0,28,1,0.8477,1
0,28,2,0.8049,1
0,28,3,0.8602,1
0,28,4,0.1971,0
0,28,5,0.2195,0
0,28,6,0.1426,0
0,28,7,0.0847,0
0,28,8,0.1778,0
0,28,9,0.1111,0
0,28,10,0.1606,0
0,28,11,0.2292,0
0,28,12,0.8899,1
0,28,13,0.7795,1
0,28,14,0.7969,1
0,28,15,0.8171,1
0,28,16,0.8464,1
0,28,17,0.8163,1
0,28,18,0.8916,1
0,28,19,0.138,0
0,28,20,0.1962,0
0,28,21,0.166,0
0,28,22,0.2309,0
0,28,23,0.2249,0
0,28,24,0.1868,0
0,28,25,0.1815,0
0,28,26,0.2061,0
0,28,27,0.7284,1
0,28,28,0.8653,1
0,28,29,0.8536,1
0,28,30,0.7818,1
0,28,31,0.7629,1
0,29,0,0.829,1
0,29,1,0.7547,1
0,29,2,0.8085,1
0,29,3,0.895,1
0,29,4,0.8604,1
0,29,5,0.791,1
0,29,6,0.1391,0
0,29,7,0.1889,0
0,29,8,0.2241,0
0,29,9,0.2638,0
0,29,10,0.1317,0
0,29,11,0.1689,0
0,29,12,0.33,0
0,29,13,0.7889,1
0,29,14,0.7979,1
0,29,15,0.7812,1
0,29,16,0.8045,1
0,29,17,0.7793,1
0,29,18,0.8649,1
0,29,19,0.7731,1
0,29,20,0.8341,1
0,29,21,0.1613,0
0,29,22,0.1435,0
0,29,23,0.2134,0
0,29,24,0.2079,0
0,29,25,0.1692,0
0,29,26,0.1866,0
0,29,27,0.1294,0
0,29,28,0.8665,1
0,29,29,0.7614,1
0,29,30,0.8711,1
0,29,31,0.726,1
0,30,0,0.8275,1
0,30,1,0.867,1
0,30,2,0.8091,1
0,30,3,0.8433,1
0,30,4,0.8085,1
0,30,5,0.8691,1
0,30,6,0.8857,1
0,30,7,0.19,0
0,30,8,0.127,0
0,30,9,0.2773,0
0,30,10,0.1731,0
0,30,11,0.1554,0
0,30,12,0.1952,0
0,30,13,0.1496,0
0,30,14,0.1913,0
0,30,15,0.832,1
0,30,16,0.7732,1
0,30,17,0.9467,1
0,30,18,0.8877,1
0,30,19,0.7606,1
0,30,20,0.811,1
0,30,21,0.9209,1
0,30,22,0.8761,1
0,30,23,0.2095,0
0,30,24,0.274,0
0,30,25,0.1513,0
0,30,26,0.2288,0
0,30,27,0.186,0
0,30,28,0.218,0
0,30,29,0.1785,0
0,30,30,0.7477,1
0,30,31,0.8791,1
0,31,0,0.1367,0
0,31,1,0.8051,1
0,31,2,0.8416,1
0,31,3,0.8801,1
0,31,4,0.8409,1
0,31,5,0.7506,1
0,31,6,0.8006,1
0,31,7,0.8468,1
0,31,8,0.1889,0
0,31,9,0.196,0
0,31,10,0.2285,0
0,31,11,0.2175,0
0,31,12,0.1871,0
0,31,13,0.1968,0
0,31,14,0.157,0
0,31,15,0.1635,0
0,31,16,0.7672,1
0,31,17,0.8183,1
0,31,18,0.8069,1
0,31,19,0.8733,1
0,31,20,0.8352,1
0,31,21,0.752,1
0,31,22,0.7848,1
0,31,23,0.7713,1
0,31,24,0.2194,0
0,31,25,0.2274,0
0,31,26,0.2298,0
0,31,27,0.2157,0
0,31,28,0.2294,0
0,31,29,0.2008,0
0,31,30,0.1806,0
0,31,31,0.2038,0
1,0,0,0.8514,1
1,0,1,0.8576,1
1,0,2,0.836,1
1,0,3,0.8353,1
1,0,4,0.7267,1
1,0,5,0.7933,1
1,0,6,0.7613,1
1,0,7,0.8605,1
1,0,8,0.8014,1
1,0,9,0.8166,1
1,0,10,0.7934,1
1,0,11,0.7982,1
1,0,12,0.7612,1
1,0,13,0.8043,1
1,0,14,0.838,1
1,0,15,0.8153,1
1,0,16,0.7815,1
1,0,17,0.842,1
1,0,18,0.7869,1
1,0,19,0.8634,1
1,0,20,0.8188,1
1,0,21,0.8063,1
1,0,22,0.8922,1
1,0,23,0.7286,1
1,0,24,0.801,1
1,0,25,0.8075,1
1,0,26,0.8051,1
1,0,27,0.7635,1
1,0,28,0.2188,0
1,0,29,0.1909,0
1,0,30,0.2319,0
1,0,31,0.2133,0
1,1,0,0.8298,1
1,1,1,0.9022,1
1,1,2,0.782,1
1,1,3,0.8019,1
1,1,4,0.788,1
1,1,5,0.7228,1
1,1,6,0.8196,1
1,1,7,0.8254,1
1,1,8,0.8551,1
1,1,9,0.6753,1
1,1,10,0.7617,1
1,1,11,0.79,1
1,1,12,0.8452,1
1,1,13,0.8636,1
1,1,14,0.7853,1
1,1,15,0.7631,1
1,1,16,0.8351,1
1,1,17,0.8622,1
1,1,18,0.7995,1
1,1,19,0.815,1
1,1,20,0.8739,1
1,1,21,0.7527,1
1,1,22,0.8308,1
1,1,23,0.7692,1
1,1,24,0.7633,1
1,1,25,0.8161,1
1,1,26,0.9025,1
